TRACTID,Pop2010,TractBlack,TractHispanic,TractWhite,TractKids,TractSeniors,One_mile,Half_mile,shr_Black,shr_White,shr_Hispanic,shr_Kids,shr_Seniors,minc,hhd_exp,pct_SNAP,transit_dist,transit_freq,avg_vehicle,City
48201313300,2654,2204.0,361.0,187.0,626.0,487.0,214.203100442886,798.67321562767,0.8304446119065562,0.07045968349660889,0.13602110022607386,0.23587038432554636,0.18349660889223812,45238.0,56600.0,23.07,565.2850000000001,39.42,1.4,Houston
48201313400,2935,2149.0,700.0,297.0,732.0,384.0,,994.662774714263,0.7321976149914821,0.10119250425894379,0.23850085178875638,0.2494037478705281,0.13083475298126065,33205.0,44300.0,14.24,482.13,43.625,1.3,Houston
48201313500,2501,1976.0,490.0,225.0,699.0,359.0,,457.540437281132,0.7900839664134346,0.0899640143942423,0.19592163134746102,0.27948820471811275,0.14354258296681327,36538.0,47400.0,39.76,228.43666666666664,45.660000000000004,1.4,Houston
48201313600,4831,3475.0,1236.0,565.0,1453.0,636.0,,85.308867841959,0.7193127716828814,0.11695301179879942,0.25584765058993997,0.30076588697992135,0.1316497619540468,24340.0,41100.0,52.48,356.28999999999996,64.24333333333334,1.3,Houston
48201313700,2457,2204.0,192.0,127.0,544.0,511.0,,121.329979741946,0.897028897028897,0.05168905168905169,0.07814407814407814,0.22140822140822142,0.20797720797720798,35888.0,47600.0,32.71,0.0,84.97,1.2,Houston
48201314001,2759,525.0,267.0,1134.0,242.0,198.0,666.521445724647,666.521445724647,0.19028633562885103,0.4110184849583182,0.0967741935483871,0.08771293947082276,0.07176513229430953,67091.0,56200.0,14.01,261.51666666666665,165.46333333333334,1.1,Houston
48201320100,2876,133.0,2525.0,1796.0,922.0,183.0,,,0.04624478442280946,0.6244784422809457,0.8779554937413073,0.32058414464534074,0.06363004172461753,50250.0,50100.0,40.11,433.85,32.56,1.4,Houston
48201320500,4618,32.0,4121.0,3258.0,1556.0,278.0,207.466025173664,975.961972656249,0.006929406669553919,0.7055002165439584,0.8923776526634907,0.3369423993070593,0.060199220441749676,67383.0,65600.0,15.39,730.91,4.199999999999999,2.5,Houston
48201320601,2638,45.0,2347.0,1605.0,867.0,129.0,,110.102164313197,0.017058377558756634,0.6084154662623199,0.8896891584533738,0.32865807429871113,0.04890068233510235,47250.0,54700.0,23.39,902.57,5.7,1.8,Houston
48201320602,4537,185.0,4053.0,2575.0,1437.0,353.0,,74.2594134807587,0.04077584306810668,0.5675556535155389,0.8933215781353318,0.31672911615605026,0.07780471677319815,39432.0,48600.0,34.09,647.7633333333333,14.339999999999998,1.8,Houston
48201320700,3849,335.0,2617.0,1891.0,1127.0,385.0,,435.274362564087,0.0870355936606911,0.4912964406339309,0.6799168615224733,0.29280332553910104,0.10002598077422707,56078.0,58100.0,24.9,515.6600000000001,13.844999999999999,1.7,Houston
48201321200,4284,262.0,3503.0,2822.0,1592.0,165.0,741.361565005034,1550.43572496995,0.0611577964519141,0.6587301587301587,0.8176937441643324,0.3716153127917834,0.03851540616246499,36154.0,50600.0,34.79,,,1.8,Houston
48201321600,6785,96.0,5255.0,5184.0,2153.0,639.0,,1100.24287217297,0.01414885777450258,0.7640383198231393,0.7745025792188651,0.3173176123802506,0.0941783345615328,74510.0,65800.0,10.61,838.87,7.26,2.3,Houston
48201321700,3049,29.0,2275.0,2429.0,899.0,390.0,,,0.009511315185306658,0.7966546408658577,0.7461462774680223,0.2948507707445064,0.12791079042308953,67388.0,65800.0,25.15,457.32500000000005,11.774999999999999,2.3,Houston
48201321800,4108,59.0,3614.0,2842.0,1331.0,314.0,,792.661330670118,0.01436222005842259,0.6918208373904576,0.879746835443038,0.3240019474196689,0.07643622200584226,71875.0,62200.0,28.45,284.99,10.575,2.4,Houston
48201324000,5561,69.0,2253.0,4371.0,1392.0,615.0,186.515961819096,896.143940769602,0.01240784031648984,0.7860097104837259,0.40514295989929866,0.2503146916022298,0.11059162021219206,83693.0,68200.0,18.15,,,2.0,Houston
