"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06077003111","CA","06077003111","=""06077003111""","66214","2017-2021","2020","Census","California (State)"
"Census Tract","06077003112","CA","06077003112","=""06077003112""","88406","2017-2021","2020","Census","California (State)"
"Census Tract","06077003115","CA","06077003115","=""06077003115""","49183","2017-2021","2020","Census","California (State)"
"Census Tract","06077003116","CA","06077003116","=""06077003116""","36017","2017-2021","2020","Census","California (State)"
"Census Tract","06077003117","CA","06077003117","=""06077003117""","107482","2017-2021","2020","Census","California (State)"
"Census Tract","06077003118","CA","06077003118","=""06077003118""","104102","2017-2021","2020","Census","California (State)"
"Census Tract","06077003119","CA","06077003119","=""06077003119""","111886","2017-2021","2020","Census","California (State)"
"Census Tract","06077003203","CA","06077003203","=""06077003203""","82240","2017-2021","2020","Census","California (State)"
"Census Tract","06077003205","CA","06077003205","=""06077003205""","79391","2017-2021","2020","Census","California (State)"
"Census Tract","06077003209","CA","06077003209","=""06077003209""","97035","2017-2021","2020","Census","California (State)"
"Census Tract","06077003210","CA","06077003210","=""06077003210""","85976","2017-2021","2020","Census","California (State)"
"Census Tract","06077003213","CA","06077003213","=""06077003213""","70703","2017-2021","2020","Census","California (State)"
"Census Tract","06077003214","CA","06077003214","=""06077003214""","92014","2017-2021","2020","Census","California (State)"
"Census Tract","06077003215","CA","06077003215","=""06077003215""","74731","2017-2021","2020","Census","California (State)"
"Census Tract","06077003216","CA","06077003216","=""06077003216""","87985","2017-2021","2020","Census","California (State)"
"Census Tract","06077003217","CA","06077003217","=""06077003217""","44427","2017-2021","2020","Census","California (State)"
"Census Tract","06077003218","CA","06077003218","=""06077003218""","78494","2017-2021","2020","Census","California (State)"
"Census Tract","06077003219","CA","06077003219","=""06077003219""","102896","2017-2021","2020","Census","California (State)"
"Census Tract","06077003305","CA","06077003305","=""06077003305""","68160","2017-2021","2020","Census","California (State)"
"Census Tract","06077003306","CA","06077003306","=""06077003306""","60475","2017-2021","2020","Census","California (State)"
"Census Tract","06077003307","CA","06077003307","=""06077003307""","48064","2017-2021","2020","Census","California (State)"
"Census Tract","06077003308","CA","06077003308","=""06077003308""","40234","2017-2021","2020","Census","California (State)"
"Census Tract","06077003310","CA","06077003310","=""06077003310""","45459","2017-2021","2020","Census","California (State)"
"Census Tract","06077003311","CA","06077003311","=""06077003311""","51144","2017-2021","2020","Census","California (State)"
"Census Tract","06077003312","CA","06077003312","=""06077003312""","30250","2017-2021","2020","Census","California (State)"
"Census Tract","06077003313","CA","06077003313","=""06077003313""","43833","2017-2021","2020","Census","California (State)"
"Census Tract","06077003403","CA","06077003403","=""06077003403""","73417","2017-2021","2020","Census","California (State)"
"Census Tract","06077003404","CA","06077003404","=""06077003404""","53030","2017-2021","2020","Census","California (State)"
"Census Tract","06077003405","CA","06077003405","=""06077003405""","55391","2017-2021","2020","Census","California (State)"
"Census Tract","06077003406","CA","06077003406","=""06077003406""","33852","2017-2021","2020","Census","California (State)"
"Census Tract","06077003407","CA","06077003407","=""06077003407""","50368","2017-2021","2020","Census","California (State)"
"Census Tract","06077003409","CA","06077003409","=""06077003409""","44193","2017-2021","2020","Census","California (State)"
"Census Tract","06077003410","CA","06077003410","=""06077003410""","59568","2017-2021","2020","Census","California (State)"
"Census Tract","06077003501","CA","06077003501","=""06077003501""","83542","2017-2021","2020","Census","California (State)"
"Census Tract","06077003502","CA","06077003502","=""06077003502""","82045","2017-2021","2020","Census","California (State)"
"Census Tract","06077003503","CA","06077003503","=""06077003503""","103568","2017-2021","2020","Census","California (State)"
"Census Tract","06077003504","CA","06077003504","=""06077003504""","83333","2017-2021","2020","Census","California (State)"
"Census Tract","06077003601","CA","06077003601","=""06077003601""","56557","2017-2021","2020","Census","California (State)"
"Census Tract","06077003602","CA","06077003602","=""06077003602""","53027","2017-2021","2020","Census","California (State)"
"Census Tract","06077003700","CA","06077003700","=""06077003700""","41447","2017-2021","2020","Census","California (State)"
"Census Tract","06077003803","CA","06077003803","=""06077003803""","87344","2017-2021","2020","Census","California (State)"
"Census Tract","06077003804","CA","06077003804","=""06077003804""","79022","2017-2021","2020","Census","California (State)"
"Census Tract","06077003805","CA","06077003805","=""06077003805""","98125","2017-2021","2020","Census","California (State)"
"Census Tract","06077003806","CA","06077003806","=""06077003806""","86176","2017-2021","2020","Census","California (State)"
"Census Tract","06077003807","CA","06077003807","=""06077003807""","95801","2017-2021","2020","Census","California (State)"
"Census Tract","06077003808","CA","06077003808","=""06077003808""","90917","2017-2021","2020","Census","California (State)"
"Census Tract","06077003900","CA","06077003900","=""06077003900""","51538","2017-2021","2020","Census","California (State)"
"Census Tract","06077004001","CA","06077004001","=""06077004001""","45250","2017-2021","2020","Census","California (State)"
"Census Tract","06077004003","CA","06077004003","=""06077004003""","100500","2017-2021","2020","Census","California (State)"
"Census Tract","06077004004","CA","06077004004","=""06077004004""","96540","2017-2021","2020","Census","California (State)"
"Census Tract","06077004104","CA","06077004104","=""06077004104""","110324","2017-2021","2020","Census","California (State)"
"Census Tract","06077004105","CA","06077004105","=""06077004105""","102383","2017-2021","2020","Census","California (State)"
"Census Tract","06077004106","CA","06077004106","=""06077004106""","106696","2017-2021","2020","Census","California (State)"
"Census Tract","06077004107","CA","06077004107","=""06077004107""","61774","2017-2021","2020","Census","California (State)"
"Census Tract","06077004108","CA","06077004108","=""06077004108""","114234","2017-2021","2020","Census","California (State)"
"Census Tract","06077004202","CA","06077004202","=""06077004202""","130250","2017-2021","2020","Census","California (State)"
"Census Tract","06077004203","CA","06077004203","=""06077004203""","67803","2017-2021","2020","Census","California (State)"
"Census Tract","06077004204","CA","06077004204","=""06077004204""","64349","2017-2021","2020","Census","California (State)"
"Census Tract","06077004205","CA","06077004205","=""06077004205""","58260","2017-2021","2020","Census","California (State)"
"Census Tract","06077004206","CA","06077004206","=""06077004206""","77791","2017-2021","2020","Census","California (State)"
"Census Tract","06077004302","CA","06077004302","=""06077004302""","57109","2017-2021","2020","Census","California (State)"
"Census Tract","06077004305","CA","06077004305","=""06077004305""","112230","2017-2021","2020","Census","California (State)"
"Census Tract","06077004307","CA","06077004307","=""06077004307""","63684","2017-2021","2020","Census","California (State)"
"Census Tract","06077004308","CA","06077004308","=""06077004308""","61875","2017-2021","2020","Census","California (State)"
"Census Tract","06077004309","CA","06077004309","=""06077004309""","97824","2017-2021","2020","Census","California (State)"
"Census Tract","06077004310","CA","06077004310","=""06077004310""","93068","2017-2021","2020","Census","California (State)"
"Census Tract","06077004402","CA","06077004402","=""06077004402""","82849","2017-2021","2020","Census","California (State)"
"Census Tract","06077004403","CA","06077004403","=""06077004403""","33367","2017-2021","2020","Census","California (State)"
"Census Tract","06077004404","CA","06077004404","=""06077004404""","39188","2017-2021","2020","Census","California (State)"
"Census Tract","06077004501","CA","06077004501","=""06077004501""","60846","2017-2021","2020","Census","California (State)"
"Census Tract","06077004502","CA","06077004502","=""06077004502""","36486","2017-2021","2020","Census","California (State)"
"Census Tract","06077004600","CA","06077004600","=""06077004600""","74107","2017-2021","2020","Census","California (State)"
"Census Tract","06077004701","CA","06077004701","=""06077004701""","80231","2017-2021","2020","Census","California (State)"
"Census Tract","06077004703","CA","06077004703","=""06077004703""","107750","2017-2021","2020","Census","California (State)"
"Census Tract","06077004704","CA","06077004704","=""06077004704""","82734","2017-2021","2020","Census","California (State)"
"Census Tract","06077004800","CA","06077004800","=""06077004800""","91358","2017-2021","2020","Census","California (State)"
"Census Tract","06077004903","CA","06077004903","=""06077004903""","59921","2017-2021","2020","Census","California (State)"
"Census Tract","06077004904","CA","06077004904","=""06077004904""","80603","2017-2021","2020","Census","California (State)"
"Census Tract","06077004905","CA","06077004905","=""06077004905""","69844","2017-2021","2020","Census","California (State)"
"Census Tract","06077004906","CA","06077004906","=""06077004906""","71458","2017-2021","2020","Census","California (State)"
"Census Tract","06077005001","CA","06077005001","=""06077005001""","94583","2017-2021","2020","Census","California (State)"
