"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Jobs within a 45-Minute Transit Commute","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d5br","TimeFrame","GeoVintage","Source","Location"
"Block Group","060590639024","CA","060590639024","=""060590639024""","197232","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639031","CA","060590639031","=""060590639031""","90194","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639032","CA","060590639032","=""060590639032""","97381","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639041","CA","060590639041","=""060590639041""","97826","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639042","CA","060590639042","=""060590639042""","124095","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639043","CA","060590639043","=""060590639043""","104913","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639051","CA","060590639051","=""060590639051""","202987","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639052","CA","060590639052","=""060590639052""","202992","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639053","CA","060590639053","=""060590639053""","131045","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639061","CA","060590639061","=""060590639061""","137065","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639062","CA","060590639062","=""060590639062""","129081","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639063","CA","060590639063","=""060590639063""","126084","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639071","CA","060590639071","=""060590639071""","83276","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639072","CA","060590639072","=""060590639072""","60706","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639073","CA","060590639073","=""060590639073""","2108","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639081","CA","060590639081","=""060590639081""","123279","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639082","CA","060590639082","=""060590639082""","122971","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639083","CA","060590639083","=""060590639083""","113583","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590639084","CA","060590639084","=""060590639084""","117361","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740031","CA","060590740031","=""060590740031""","202890","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740041","CA","060590740041","=""060590740041""","170127","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740042","CA","060590740042","=""060590740042""","211561","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740043","CA","060590740043","=""060590740043""","209731","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740044","CA","060590740044","=""060590740044""","186949","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740051","CA","060590740051","=""060590740051""","127184","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740052","CA","060590740052","=""060590740052""","192047","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740053","CA","060590740053","=""060590740053""","192633","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740054","CA","060590740054","=""060590740054""","157126","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740061","CA","060590740061","=""060590740061""","270744","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740062","CA","060590740062","=""060590740062""","276159","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590740063","CA","060590740063","=""060590740063""","147268","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741021","CA","060590741021","=""060590741021""","193166","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741022","CA","060590741022","=""060590741022""","120202","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741023","CA","060590741023","=""060590741023""","178933","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741031","CA","060590741031","=""060590741031""","189781","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741032","CA","060590741032","=""060590741032""","124660","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741033","CA","060590741033","=""060590741033""","158200","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741061","CA","060590741061","=""060590741061""","101152","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060590741062","CA","060590741062","=""060590741062""","67564","2021","2010","EPA Smart Location Database","California (State)"
